algo_config,dgp_config_folder,algorithm,full_alpha_range,dataset,feature_dim,n_train_samples,n_test_samples,mc_iterations,max_depth,min_samples_split,kappa,max_features,fit_duration (mean),fit_duration (median),noise_learning_duration (mean),noise_learning_duration (median),permutation_importance_means,permutation_importance_stds,feature_importances,Train Noise (mean),Train Noise (median),Est. Train Noise (mean),Est. Train Noise (median),Train Noise Est. Diff. (mean),Train Noise Est. Diff. (median),Train Accuracy (mean),Train Accuracy (median),Test Accuracy (mean),Test Accuracy (median),Test Precision (mean),Test Precision (median),Test Recall (mean),Test Recall (median),Test F1 (mean),Test F1 (median),Depth (mean),Depth (median),N Leaves (mean),N Leaves (median),Test AUC (mean),Test AUC (median),Test Log Loss (mean),Test Log Loss (median),Test Matthews (mean),Test Matthews (median),Class 1 Fraction (mean),Class 1 Fraction (median)
two_step*.yaml,expanded,TS*,0.0,Sine Cosine,5,100,100,300,,2,mean_var,all,0.068,0.066,0.0,0.0,"0.0,0.0,0.0,0.0,0.0","0.0,0.01,0.0,0.0,0.0","0.13,0.18,0.03,0.11,0.0",0.221,0.221,0.221,0.221,0.0,0.0,0.692,0.695,0.506,0.5,0.493,0.5,0.486,0.5,0.456,0.491,2.603,3.0,4.55,5.0,0.507,0.503,2.015,1.51,0.009,0.009,0.497,0.5
max_depth.yaml,expanded,MD,,Sine Cosine,5,100,100,300,,2,,all,0.004,0.002,0.0,0.0,"0.01,0.01,0.0,-0.0,0.0","0.02,0.02,0.02,0.02,0.02","0.2,0.21,0.19,0.18,0.19",0.221,0.221,,,,,1.0,1.0,0.514,0.51,0.508,0.51,0.515,0.52,0.508,0.515,10.163,10.0,27.597,28.0,0.513,0.514,17.524,17.661,0.027,0.028,0.497,0.5
es_1nn.yaml,expanded,ES,,Sine Cosine,5,100,100,300,,2,1nn,all,0.006,0.004,0.0,0.0,"0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0","0.08,0.09,0.07,0.0,0.03",0.221,0.221,0.235,0.23,-0.014,-0.014,0.69,0.685,0.506,0.51,0.497,0.5,0.481,0.5,0.453,0.49,2.337,2.0,5.333,4.0,0.506,0.501,2.754,1.735,0.009,0.008,0.497,0.5
two_step.yaml,expanded,TS,0.0,Sine Cosine,5,100,100,300,,2,1nn,all,0.091,0.079,0.0,0.0,"0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0","0.09,0.08,0.09,0.0,0.0",0.221,0.221,0.235,0.23,-0.014,-0.014,0.702,0.69,0.51,0.51,0.501,0.5,0.486,0.495,0.459,0.495,2.787,2.0,5.193,3.0,0.506,0.506,2.422,1.398,0.015,0.018,0.497,0.5
es_true_mse.yaml,expanded,ES*,,Sine Cosine,5,100,100,300,,2,mean_var,all,0.003,0.002,0.0,0.0,"0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.01,0.01,0.01","0.18,0.19,0.17,0.16,0.15",0.221,0.221,0.221,0.221,0.0,0.0,0.722,0.72,0.503,0.5,0.498,0.5,0.495,0.5,0.471,0.494,2.96,3.0,6.573,7.0,0.506,0.502,3.373,3.252,0.006,0.006,0.497,0.5
post_pruned.yaml,expanded,CCP,0.0,Sine Cosine,5,100,100,300,,2,,all,0.249,0.25,0.0,0.0,"0.0,0.0,0.0,0.0,0.0","0.02,0.02,0.02,0.02,0.02","0.19,0.19,0.16,0.15,0.17",0.221,0.221,,,,,0.841,0.85,0.515,0.52,0.507,0.51,0.513,0.522,0.496,0.514,6.273,6.5,13.27,11.0,0.513,0.512,7.691,6.104,0.027,0.028,0.497,0.5
two_step*.yaml,expanded,TS*,0.0,Sine Cosine,30,1000,1000,300,,2,mean_var,all,2.813,2.727,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.221,0.221,0.221,0.221,0.0,0.0,0.62,0.624,0.504,0.503,0.502,0.502,0.504,0.513,0.473,0.507,4.57,5.0,12.997,11.0,0.506,0.503,1.21,0.919,0.009,0.006,0.499,0.499
max_depth.yaml,expanded,MD,,Sine Cosine,30,1000,1000,300,,2,,all,0.081,0.076,0.0,0.0,"0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03",0.221,0.221,,,,,1.0,1.0,0.503,0.503,0.502,0.501,0.502,0.502,0.502,0.502,19.493,19.0,171.493,172.0,0.503,0.503,17.917,17.914,0.006,0.006,0.499,0.499
es_1nn.yaml,expanded,ES,,Sine Cosine,30,1000,1000,300,,2,1nn,all,0.867,0.46,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.221,0.221,0.249,0.248,-0.028,-0.027,0.575,0.559,0.501,0.502,0.486,0.498,0.524,0.536,0.456,0.514,2.46,2.0,7.933,4.0,0.502,0.5,1.058,0.719,0.002,0.0,0.499,0.499
two_step.yaml,expanded,TS,0.0,Sine Cosine,30,1000,1000,300,,2,1nn,all,2.013,1.219,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.221,0.221,0.249,0.248,-0.028,-0.027,0.575,0.562,0.502,0.502,0.494,0.5,0.511,0.515,0.447,0.504,2.783,2.0,6.433,3.0,0.503,0.501,0.893,0.712,0.005,0.0,0.499,0.499
es_true_mse.yaml,expanded,ES*,,Sine Cosine,30,1000,1000,300,,2,mean_var,all,0.038,0.04,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02",0.221,0.221,0.221,0.221,0.0,0.0,0.673,0.674,0.503,0.502,0.504,0.5,0.506,0.492,0.491,0.503,5.68,6.0,27.99,27.0,0.505,0.502,2.393,2.381,0.007,0.004,0.499,0.499
post_pruned.yaml,expanded,CCP,0.0,Sine Cosine,30,1000,1000,300,,2,,all,28.499,28.547,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02",0.221,0.221,,,,,0.774,0.772,0.506,0.504,0.502,0.503,0.493,0.497,0.486,0.5,12.173,13.0,55.57,37.0,0.506,0.504,4.448,2.01,0.012,0.008,0.499,0.499
two_step*.yaml,expanded,TS*,0.0,Sine Cosine,10,1000,1000,300,,2,mean_var,all,1.344,1.346,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.1,0.11,0.04,0.03,0.04,0.01,0.06,0.04,0.04,0.04",0.221,0.221,0.221,0.221,0.0,0.0,0.611,0.609,0.517,0.508,0.516,0.509,0.498,0.51,0.474,0.521,5.12,6.0,13.253,10.0,0.52,0.508,1.116,0.883,0.036,0.015,0.499,0.499
max_depth.yaml,expanded,MD,,Sine Cosine,10,1000,1000,300,,2,,all,0.031,0.03,0.0,0.0,"0.01,0.01,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01","0.11,0.12,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09",0.221,0.221,,,,,1.0,1.0,0.517,0.515,0.517,0.516,0.516,0.517,0.516,0.515,21.723,21.0,219.02,219.0,0.517,0.515,17.401,17.481,0.034,0.03,0.499,0.499
es_1nn.yaml,expanded,ES,,Sine Cosine,10,1000,1000,300,,2,1nn,all,0.049,0.044,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.08,0.08,0.04,0.04,0.05,0.03,0.05,0.05,0.03,0.04",0.221,0.221,0.241,0.242,-0.02,-0.02,0.591,0.588,0.508,0.504,0.51,0.506,0.5,0.505,0.462,0.509,3.547,4.0,13.403,12.0,0.511,0.503,1.301,1.095,0.017,0.007,0.499,0.499
two_step.yaml,expanded,TS,0.0,Sine Cosine,10,1000,1000,300,,2,1nn,all,0.793,0.608,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.221,0.221,0.241,0.242,-0.02,-0.02,0.588,0.583,0.512,0.506,0.513,0.507,0.502,0.508,0.462,0.509,3.893,4.0,9.51,7.0,0.515,0.505,0.982,0.732,0.027,0.013,0.499,0.499
es_true_mse.yaml,expanded,ES*,,Sine Cosine,10,1000,1000,300,,2,mean_var,all,0.015,0.015,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.11,0.12,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.09",0.221,0.221,0.221,0.221,0.0,0.0,0.663,0.66,0.517,0.507,0.518,0.51,0.509,0.515,0.496,0.524,6.21,6.0,33.63,34.0,0.52,0.511,2.511,2.546,0.033,0.014,0.499,0.499
post_pruned.yaml,expanded,CCP,0.0,Sine Cosine,10,1000,1000,300,,2,,all,12.51,12.573,0.0,0.0,"0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.12,0.13,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07",0.221,0.221,,,,,0.714,0.686,0.525,0.514,0.527,0.515,0.529,0.525,0.512,0.525,11.387,10.0,44.81,19.0,0.529,0.517,3.026,1.176,0.051,0.029,0.499,0.499
two_step*.yaml,standard,TS*,0.0,Sine Cosine,2,1000,1000,300,,2,mean_var,all,0.493,0.483,0.0,0.0,"0.1,0.1","0.01,0.01","0.41,0.59",0.221,0.221,0.221,0.221,0.0,0.0,0.658,0.667,0.595,0.603,0.602,0.609,0.582,0.615,0.575,0.609,5.833,6.0,14.727,13.0,0.611,0.62,0.927,0.783,0.196,0.21,0.499,0.499
two_step*_full.yaml,standard,TS*,1.0,Sine Cosine,2,1000,1000,300,,2,mean_var,all,0.505,0.501,0.0,0.0,"0.1,0.1","0.01,0.01","0.41,0.57",0.221,0.221,0.221,0.221,0.0,0.0,0.653,0.667,0.592,0.603,0.586,0.607,0.582,0.616,0.566,0.61,5.52,6.0,14.243,13.0,0.607,0.62,0.921,0.765,0.189,0.209,0.499,0.499
post_pruned_full.yaml,standard,CCP,1.0,Sine Cosine,2,1000,1000,300,,2,,all,5.057,5.06,0.0,0.0,"0.11,0.11","0.01,0.01","0.42,0.57",0.221,0.221,,,,,0.685,0.683,0.604,0.607,0.602,0.61,0.592,0.605,0.59,0.607,8.403,8.0,18.803,15.0,0.622,0.625,1.009,0.821,0.211,0.216,0.499,0.499
max_depth.yaml,standard,MD,,Sine Cosine,2,1000,1000,300,,2,,all,0.01,0.009,0.0,0.0,"0.06,0.06","0.01,0.01","0.49,0.51",0.221,0.221,,,,,1.0,1.0,0.557,0.556,0.557,0.555,0.554,0.555,0.555,0.555,25.157,25.0,335.623,335.0,0.557,0.556,15.984,16.003,0.113,0.112,0.499,0.499
es_1nn.yaml,standard,ES,,Sine Cosine,2,1000,1000,300,,2,1nn,all,0.01,0.008,0.0,0.0,"0.1,0.1","0.01,0.01","0.45,0.55",0.221,0.221,0.22,0.221,0.001,0.0,0.681,0.689,0.589,0.597,0.594,0.601,0.566,0.594,0.566,0.595,6.173,6.0,34.213,32.0,0.606,0.616,1.83,1.688,0.182,0.197,0.499,0.499
two_step.yaml,standard,TS,0.0,Sine Cosine,2,1000,1000,300,,2,1nn,all,0.82,0.802,0.0,0.0,"0.1,0.1","0.01,0.01","0.43,0.57",0.221,0.221,0.22,0.221,0.001,0.0,0.668,0.677,0.596,0.602,0.605,0.608,0.579,0.601,0.574,0.603,6.527,6.0,16.877,14.0,0.613,0.622,1.004,0.823,0.196,0.207,0.499,0.499
es_true_mse.yaml,standard,ES*,,Sine Cosine,2,1000,1000,300,,2,mean_var,all,0.005,0.005,0.0,0.0,"0.1,0.1","0.01,0.01","0.45,0.55",0.221,0.221,0.221,0.221,0.0,0.0,0.683,0.689,0.595,0.602,0.601,0.605,0.577,0.601,0.579,0.6,6.287,6.0,33.22,31.5,0.613,0.619,1.761,1.691,0.193,0.207,0.499,0.499
two_step_full.yaml,standard,TS,1.0,Sine Cosine,2,1000,1000,300,,2,1nn,all,0.838,0.816,0.0,0.0,"0.1,0.1","0.01,0.01","0.42,0.57",0.221,0.221,0.22,0.221,0.001,0.0,0.664,0.676,0.593,0.601,0.585,0.604,0.574,0.601,0.566,0.602,6.277,6.0,16.45,13.5,0.61,0.622,0.997,0.813,0.191,0.206,0.499,0.499
post_pruned.yaml,standard,CCP,0.0,Sine Cosine,2,1000,1000,300,,2,,all,5.019,5.019,0.0,0.0,"0.11,0.11","0.01,0.01","0.43,0.57",0.221,0.221,,,,,0.688,0.683,0.606,0.607,0.611,0.611,0.597,0.605,0.598,0.608,8.623,8.0,19.183,15.0,0.624,0.625,1.014,0.838,0.216,0.22,0.499,0.499
two_step*.yaml,expanded,TS*,0.0,Add. Jump,5,1000,1000,300,,2,mean_var,all,0.368,0.336,0.0,0.0,"0.29,0.09,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.82,0.17,0.0,0.0,0.0",0.065,0.065,0.065,0.065,0.0,0.0,0.906,0.908,0.887,0.888,0.897,0.896,0.92,0.926,0.906,0.907,3.287,3.0,5.53,5.0,0.943,0.945,0.322,0.273,0.771,0.771,0.593,0.594
max_depth.yaml,expanded,MD,,Add. Jump,5,1000,1000,300,,2,,all,0.011,0.009,0.0,0.0,"0.28,0.08,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.66,0.19,0.05,0.05,0.05",0.065,0.065,,,,,1.0,1.0,0.865,0.865,0.886,0.887,0.885,0.885,0.886,0.886,15.007,15.0,87.593,87.0,0.86,0.86,4.881,4.866,0.72,0.721,0.593,0.594
es_1nn.yaml,expanded,ES,,Add. Jump,5,1000,1000,300,,2,1nn,all,0.014,0.013,0.0,0.0,"0.31,0.07,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.81,0.18,0.0,0.0,0.0",0.065,0.065,0.08,0.08,-0.016,-0.016,0.905,0.906,0.886,0.886,0.904,0.903,0.908,0.906,0.904,0.904,3.067,3.0,8.06,8.0,0.952,0.953,0.357,0.315,0.768,0.769,0.593,0.594
two_step.yaml,expanded,TS,0.0,Add. Jump,5,1000,1000,300,,2,1nn,all,0.313,0.307,0.0,0.0,"0.3,0.09,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.82,0.17,0.0,0.0,0.0",0.065,0.065,0.08,0.08,-0.016,-0.016,0.906,0.908,0.888,0.888,0.898,0.897,0.919,0.926,0.906,0.908,3.223,3.0,5.273,5.0,0.943,0.945,0.308,0.27,0.772,0.771,0.593,0.594
es_true_mse.yaml,expanded,ES*,,Add. Jump,5,1000,1000,300,,2,mean_var,all,0.007,0.006,0.0,0.0,"0.31,0.08,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.79,0.18,0.01,0.01,0.01",0.065,0.065,0.065,0.065,0.0,0.0,0.92,0.92,0.884,0.884,0.902,0.903,0.905,0.905,0.902,0.903,4.353,4.0,16.777,15.0,0.944,0.947,0.664,0.603,0.762,0.764,0.593,0.594
post_pruned.yaml,expanded,CCP,0.0,Add. Jump,5,1000,1000,300,,2,,all,1.642,1.638,0.0,0.0,"0.31,0.09,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.81,0.18,0.0,0.0,0.0",0.065,0.065,,,,,0.916,0.914,0.888,0.889,0.898,0.899,0.918,0.919,0.907,0.908,5.027,4.0,8.067,6.0,0.938,0.943,0.441,0.288,0.772,0.772,0.593,0.594
two_step*.yaml,expanded,TS*,0.0,Add. Jump,100,1000,1000,300,,2,mean_var,all,6.243,5.139,0.0,0.0,"0.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.82,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.065,0.065,0.065,0.065,0.0,0.0,0.903,0.901,0.884,0.884,0.895,0.885,0.916,0.93,0.903,0.905,2.78,3.0,4.02,4.0,0.939,0.943,0.295,0.27,0.765,0.766,0.593,0.594
max_depth.yaml,expanded,MD,,Add. Jump,100,1000,1000,300,,2,,all,1.279,1.038,0.0,0.0,"0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.6,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.065,0.065,,,,,1.0,1.0,0.855,0.855,0.879,0.88,0.877,0.877,0.878,0.877,13.343,13.0,58.423,58.0,0.85,0.85,5.217,5.208,0.701,0.7,0.593,0.594
es_1nn.yaml,expanded,ES,,Add. Jump,100,1000,1000,300,,2,1nn,all,1.69,1.534,0.0,0.0,"0.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.82,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.065,0.065,0.167,0.167,-0.102,-0.102,0.893,0.892,0.881,0.881,0.876,0.859,0.939,0.968,0.903,0.905,2.0,2.0,4.0,4.0,0.944,0.945,0.294,0.273,0.762,0.763,0.593,0.594
